Author, Basename, URL
Krock, yappy, https://github.com/SmallJoker/yappy/
BlockMen, fences, https://www.dropbox.com/s/xa047i3ha16thyx/fences-1_0-BlockMen.zip
cornernote, bags, https://github.com/cornernote/minetest-bags/
drkwv, minetest_hardcorebrix, https://github.com/yetanotherusernamebecausegithubisbugged/minetest_hardcorebrix/
Casimir, vortoj, https://github.com/CasimirKaPazi/vortoj/
Sokomine, locked_travelnet, https://github.com/Sokomine/locked_travelnet/
indriApollo, spleef, https://github.com/indriApollo/spleef/
paramat, levels, https://github.com/paramat/levels/
PilzAdam, player_textures, https://github.com/PilzAdam/player_textures/
paramat, meru, https://github.com/paramat/meru/
rommiekerova, kerova, https://www.dropbox.com/s/gfzyyup5twvxevq/%5BMod%5D%20Kerova%20%5Bv1.2%5D.zip
crazyginger72, xmas, https://github.com/crazyginger72/xmas/
Kilarin, bridgetool, https://github.com/Kilarin/bridgetool/
lag01, kick_voting, https://github.com/AndrejIT/kick_voting/
ashenk69, specialties, https://github.com/metalstache/specialties/
paramat, subterrain, https://github.com/paramat/subterrain/
JBR, chatlog, https://dl.dropboxusercontent.com/s/ovm7jws376i801h/chatlog.zip?token_hash=AAGx1_ypQ3aZCyb_ftBj2Mh1dSwcyci2ngXrevonI5Kz7w&dl=1
paramat, paragen, https://github.com/paramat/paragen/
Hybrid Dog, outgame_intervention, https://github.com/HybridDog/outgame_intervention/
sirken, laser_mod, https://github.com/sirken/laser_mod/
Kalabasa, furnace_time, https://github.com/Kalabasa/furnace_time/
Krock, simple_protection, https://github.com/SmallJoker/simple_protection/
paramat, snowdrift, https://github.com/paramat/snowdrift/
artur99, secret, http://artur99.hostyd.com/minetest/secret/downloadv03.php
LemonLake, factory, https://bitbucket.org/LemonLake/factory/
mtmodder148, better_snow, https://github.com/MT-Modder/better_snow/
cactuz_pl, future_ban, http://pastebin.com/VS80Mukh
thefamilygrog66, magicbeans, https://github.com/thefamilygrog66/magicbeans/
stu, classes, https://github.com/stujones11/minetest-classes/
Hybrid Dog, riesenpilz, https://github.com/HybridDog/riesenpilz/
paramat, meseor, https://github.com/paramat/meseor/
addi, teleporter, https://bitbucket.org/kingarthursteam/teleporter/
Mitroman, pie, https://github.com/Mitroman/pie/
RabbiBob, bobblocks, https://github.com/rabbibob/BobBlocks/
PilzAdam, throwing, https://github.com/PilzAdam/throwing/
Zeg9, skins, https://github.com/Zeg9/minetest-skins/
VanessaE, coloredwood, https://github.com/VanessaE/coloredwood/
thefamilygrog66, mccarball, https://github.com/thefamilygrog66/mccarball/
lisacvuk, tables, https://github.com/lisacvuk/Minetest-Tables/
Evergreen, trash_can, https://github.com/4Evergreen4/trash_can/
lag01, spawn_command, https://github.com/AndrejIT/spawn_command/
indriApollo, simple_warp, https://github.com/indriApollo/simple_warp/
Calinou, soccer, https://dl.dropboxusercontent.com/u/82342922/minetest/carbone-mods/soccer.zip
indriApollo, screwdiver, https://github.com/indriApollo/screwdriver/
mtmodder148, better_gravel, https://github.com/MT-Modder/better_gravel/
Sanchez, blox, https://www.dropbox.com/s/nbq5en3sw4swjs8/blox0.7.zip
crazyginger72, fireworks, https://github.com/crazyginger72/fireworks/
darkrose, candles, http://sandbox.ltmnet.com/downloads/minetest_mods/candles.zip
paramat, webworld, https://github.com/paramat/webworld/
BlockMen, gate, https://github.com/BlockMen/gate/
BlockMen, dplus, https://www.dropbox.com/s/s2tg2bv2lwggey4/dplus-1_1_2-BlockMen.zip
Calinou, carbone_torches, https://github.com/calinou/carbone_torches/
TenPlus1, bakedclay, https://github.com/tenplus1/bakedclay/
Pavel_S, airship, https://dl.dropboxusercontent.com/s/8p1vgqs7s8nfc8w/flyingmachine.rar?token_hash=AAEk6K0gLFWJw6ZlK1mkI0aY84I6pHm7JKKuxe9_j7KTXA&dl=1
Excalibur Zero, fireballs, https://github.com/rocketslime11/fireballs/
Semmett9, christmas_craft, https://bitbucket.org/kingarthursteam/christmas_craft/
paramat, rain, https://github.com/paramat/rain/
wowiamdiamonds, unifiedbricks, https://github.com/wowiamdiamonds/unifiedbricks/
arsdragonfly, random_messages, https://github.com/arsdragonfly/random_messages/
nman3600, flags, http://lemonlake.nuclearstorm.net/flags/downloads/
Semmett9, 3d_torch, https://bitbucket.org/kingarthursteam/3d-torches/issues
captainfap, gems, https://github.com/captainLAD/gemsverison2/
Krock, materials, https://github.com/SmallJoker/materials/
CraigyDavi, colouredstonebricks, https://github.com/CraigyDavi/colouredstonebricks/
Wuzzy, treasurer, https://forum.minetest.net/download/file.php?id=1301
doyousketch2, stained_glass, https://github.com/doyousketch2/stained_glass/
TheFifthJudge, katanas, https://github.com/TheFifthJudge/katanas/
Megaf, more_chests, https://github.com/Megaf/more_chests/
aldobr, mint, http://www.iconarchive.com
yves_de_beck, noncubic, http://www.stedefreun.de/download/noncubic.7z
lag01, teleports, https://github.com/AndrejIT/teleports/
rubenwardy, awards, https://github.com/rubenwardy/awards/
Calinou, item_drop, https://dl.dropboxusercontent.com/u/82342922/minetest/carbone-mods/item_drop.zip
randomproof, admin_tools, http://www.mediafire.com/?yvdqy9mbfk6lznb
Krock, paint_roller, https://github.com/SmallJoker/paint_roller/
Calinou, hovers, https://dl.dropboxusercontent.com/u/82342922/minetest/carbone-mods/hovers.zip
paramat, nysauto, https://github.com/paramat/nysauto/
